year,tdb
-12466,-2831960.7652737983
-12465,-2831595.5195911517
-12464,-2831230.281070385
-12463,-2830865.0398200555
-12462,-2830499.8003474697
-12461,-2830134.561157638
-12460,-2829769.317728579
-12459,-2829404.0795548726
-12458,-2829038.8428546097
-12457,-2828673.6006495897
-12456,-2828308.365744693
-12455,-2827943.1261917744
-12454,-2827577.885155513
-12453,-2827212.6470454
-12452,-2826847.40493815
-12451,-2826482.168915351
-12450,-2826116.9321869053
-12449,-2825751.689520344
-12448,-2825386.4512669714
-12447,-2825021.2106764056
-12446,-2824655.970373395
-12445,-2824290.7298644707
-12444,-2823925.4878600687
-12443,-2823560.2464261027
-12442,-2823195.004848608
-12441,-2822829.762041685
-12440,-2822464.5219584964
-12439,-2822099.2866474474
-12438,-2821734.0482537253
-12437,-2821368.809615777
-12436,-2821003.571144717
-12435,-2820638.332118811
-12434,-2820273.096318811
-12433,-2819907.8565596817
-12432,-2819542.6178751886
-12431,-2819177.3786743702
-12430,-2818812.1363329478
-12429,-2818446.8933958085
-12428,-2818081.6523436243
-12427,-2817716.4127383744
-12426,-2817351.172674031
-12425,-2816985.931349039
-12424,-2816620.6901889313
-12423,-2816255.451473509
-12422,-2815890.214350272
-12421,-2815524.972978222
-12420,-2815159.7355905212
-12419,-2814794.4951491244
-12418,-2814429.2541368604
-12417,-2814064.0154905366
-12416,-2813698.7755350526
-12415,-2813333.5401640953
-12414,-2812968.303500315
-12413,-2812603.06104373
-12412,-2812237.8219790068
-12411,-2811872.582590663
-12410,-2811507.341103215
-12409,-2811142.1020318083
-12408,-2810776.8594186194
-12407,-2810411.617490393
-12406,-2810046.3783244723
-12405,-2809681.1326742014
-12404,-2809315.8944143225
-12403,-2808950.6581085986
-12402,-2808585.4162414335
-12401,-2808220.1797807747
-12400,-2807854.9393483214
-12399,-2807489.7015291564
-12398,-2807124.468091854
-12397,-2806759.225196271
-12396,-2806393.9873659424
-12395,-2806028.748325914
-12394,-2805663.503678982
-12393,-2805298.263898572
-12392,-2804933.024427292
-12391,-2804567.7841424756
-12390,-2804202.548079894
-12389,-2803837.3033660073
-12388,-2803472.061803989
-12387,-2803106.826090197
-12386,-2802741.5818057777
-12385,-2802376.3439530656
-12384,-2802011.1048883256
-12383,-2801645.860872574
-12382,-2801280.62604726
-12381,-2800915.3820620123
-12380,-2800550.1439813385
-12379,-2800184.911900131
-12378,-2799819.667670248
-12377,-2799454.4308066387
-12376,-2799089.192220265
-12375,-2798723.9508156143
-12374,-2798358.716708619
-12373,-2797993.4732118575
-12372,-2797628.230263302
-12371,-2797262.9924337193
-12370,-2796897.7452198444
-12369,-2796532.5037753293
-12368,-2796167.267629915
-12367,-2795802.02443208
-12366,-2795436.789576579
-12365,-2795071.547846157
-12364,-2794706.305392366
-12363,-2794341.0739911105
-12362,-2793975.831161553
-12361,-2793610.59219437
-12360,-2793245.357437671
-12359,-2792880.1121486314
-12358,-2792514.8764819205
-12357,-2792149.6353552714
-12356,-2791784.393301108
-12355,-2791419.1602104073
-12354,-2791053.9155845493
-12353,-2790688.672850648
-12352,-2790323.4365123305
-12351,-2789958.192433227
-12350,-2789592.9551227354
-12349,-2789227.7151128137
-12348,-2788862.4686399037
-12347,-2788497.2331502875
-12346,-2788131.9888815135
-12345,-2787766.7473484846
-12344,-2787401.5161279896
-12343,-2787036.2744838884
-12342,-2786671.039287273
-12341,-2786305.8015562147
-12340,-2785940.557912044
-12339,-2785575.3256869623
-12338,-2785210.083854839
-12337,-2784844.840520354
-12336,-2784479.6038128836
-12335,-2784114.3579295706
-12334,-2783749.1167552024
