year,tdb
-12304,-2772801.526953983
-12303,-2772436.286258231
-12302,-2772071.045962698
-12301,-2771705.79848833
-12300,-2771340.5545217674
-12299,-2770975.310430537
-12298,-2770610.0634074416
-12297,-2770244.8203518176
-12296,-2769879.5777185075
-12295,-2769514.332908134
-12294,-2769149.091843771
-12293,-2768783.845093865
-12292,-2768418.6024868134
-12291,-2768053.364481219
-12290,-2767688.1166980285
-12289,-2767322.874960577
-12288,-2766957.6314302245
-12287,-2766592.3857082017
-12286,-2766227.1481345985
-12285,-2765861.9030749192
-12284,-2765496.6619447684
-12283,-2765131.4238290126
-12282,-2764766.1748498017
-12281,-2764400.9331390252
-12280,-2764035.691555162
-12279,-2763670.4456125787
-12278,-2763305.204835819
-12277,-2762939.9567632284
-12276,-2762574.7090376215
-12275,-2762209.469109893
-12274,-2761844.2203575987
-12273,-2761478.9783905996
-12272,-2761113.740026403
-12271,-2760748.493022754
-12270,-2760383.2551609203
-12269,-2760018.0110772736
-12268,-2759652.767654894
-12267,-2759287.5321790576
-12266,-2758922.284333883
-12265,-2758557.0407769447
-12264,-2758191.7998282593
-12263,-2757826.5516781677
-12262,-2757461.3119784957
-12261,-2757096.068242439
-12260,-2756730.8218862107
-12259,-2756365.5828625327
-12258,-2756000.333906494
-12257,-2755635.0880699344
-12256,-2755269.84988873
-12255,-2754904.602177893
-12254,-2754539.3611048087
-12253,-2754174.1180720273
-12252,-2753808.868610247
-12251,-2753443.63304975
-12250,-2753078.3869402967
-12249,-2752713.144387303
-12248,-2752347.9095792174
-12247,-2751982.6620194754
-12246,-2751617.422315169
-12245,-2751252.1808874374
-12244,-2750886.9338373533
-12243,-2750521.6961394595
-12242,-2750156.4478253406
-12241,-2749791.198560304
-12240,-2749425.957287264
-12239,-2749060.7086810814
-12238,-2748695.4656986557
-12237,-2748330.2258961573
-12236,-2747964.9786737217
-12235,-2747599.7399677522
-12234,-2747234.4967585504
-12233,-2746869.2502730805
-12232,-2746504.015805102
-12231,-2746138.770930902
-12230,-2745773.5279869493
-12229,-2745408.2880639853
-12228,-2745043.038690569
-12227,-2744677.8005446494
-12226,-2744312.556804983
-12225,-2743947.3096248144
-12224,-2743582.0713703195
-12223,-2743216.8240653416
-12222,-2742851.5783438263
-12221,-2742486.3378138617
-12220,-2742121.0903309537
-12219,-2741755.8499870673
-12218,-2741390.6057249364
-12217,-2741025.3559104223
-12216,-2740660.1167530753
-12215,-2740294.873444494
-12214,-2739929.629534521
-12213,-2739564.393485198
-12212,-2739199.1484109387
-12211,-2738833.9086838374
-12210,-2738468.6675758297
-12209,-2738103.4201038107
-12208,-2737738.182385888
-12207,-2737372.937865381
-12206,-2737007.690144769
-12205,-2736642.44717474
-12204,-2736277.1994355107
-12203,-2735911.9560370008
-12202,-2735546.713968141
-12201,-2735181.4675873276
-12200,-2734816.22655576
-12199,-2734450.9841301963
-12198,-2734085.7377080927
-12197,-2733720.498949446
-12196,-2733355.2568632616
-12195,-2732990.0144292666
-12194,-2732624.773279785
