year,tt
2736,2720442.676026997
2737,2720807.9192522853
2738,2721173.1624775785
2739,2721538.405702876
2740,2721903.6489281775
2741,2722268.8921534833
2742,2722634.135378794
2743,2722999.3786041085
2744,2723364.621829428
2745,2723729.8650547513
2746,2724095.1082800794
2747,2724460.351505412
2748,2724825.5947307483
2749,2725190.837956089
2750,2725556.0811814344
2751,2725921.3244067845
2752,2726286.5676321387
2753,2726651.810857497
2754,2727017.05408286
2755,2727382.297308227
2756,2727747.5405335985
2757,2728112.7837589746
2758,2728478.026984355
2759,2728843.27020974
2760,2729208.513435129
2761,2729573.7566605224
2762,2729938.9998859204
2763,2730304.2431113226
2764,2730669.486336729
2765,2731034.72956214
2766,2731399.9727875553
2767,2731765.216012975
2768,2732130.4592383993
2769,2732495.7024638276
2770,2732860.9456892605
2771,2733226.1889146976
2772,2733591.432140139
2773,2733956.675365585
2774,2734321.9185910355
2775,2734687.16181649
2776,2735052.405041949
2777,2735417.6482674126
2778,2735782.89149288
2779,2736148.1347183525
2780,2736513.3779438287
2781,2736878.6211693096
2782,2737243.864394795
2783,2737609.107620285
2784,2737974.350845779
2785,2738339.594071277
2786,2738704.8372967797
2787,2739070.0805222867
2788,2739435.3237477983
2789,2739800.566973314
2790,2740165.8101988346
2791,2740531.0534243593
2792,2740896.296649888
2793,2741261.539875421
2794,2741626.783100959
2795,2741992.0263265013
2796,2742357.269552048
2797,2742722.5127775986
2798,2743087.7560031535
2799,2743452.999228713
2800,2743818.2424542774
2801,2744183.4856798453
2802,2744548.728905418
2803,2744913.9721309952
2804,2745279.2153565767
2805,2745644.4585821624
2806,2746009.7018077527
2807,2746374.9450333472
2808,2746740.188258946
2809,2747105.4314845493
2810,2747470.674710157
2811,2747835.917935769
2812,2748201.1611613855
2813,2748566.404387006
2814,2748931.6476126313
2815,2749296.8908382608
2816,2749662.134063895
2817,2750027.377289533
2818,2750392.6205151756
2819,2750757.8637408228
2820,2751123.106966474
2821,2751488.3501921296
2822,2751853.59341779
2823,2752218.836643454
2824,2752584.079869123
2825,2752949.3230947964
2826,2753314.566320474
2827,2753679.809546156
2828,2754045.052771842
2829,2754410.295997533
2830,2754775.539223228
2831,2755140.7824489274
2832,2755506.0256746314
2833,2755871.2689003395
2834,2756236.512126052
2835,2756601.755351769
2836,2756966.99857749
2837,2757332.241803216
2838,2757697.485028946
2839,2758062.7282546805
2840,2758427.971480419
2841,2758793.214706162
2842,2759158.4579319097
2843,2759523.7011576616
2844,2759888.9443834177
2845,2760254.1876091785
2846,2760619.4308349434
2847,2760984.674060713
2848,2761349.917286487
2849,2761715.160512265
2850,2762080.4037380475
2851,2762445.6469638343
2852,2762810.8901896253
2853,2763176.133415421
2854,2763541.376641221
2855,2763906.6198670254
2856,2764271.863092834
2857,2764637.106318647
2858,2765002.3495444646
2859,2765367.5927702864
2860,2765732.835996113
2861,2766098.0792219434
2862,2766463.322447778
2863,2766828.5656736176
2864,2767193.8088994613
2865,2767559.052125309
2866,2767924.2953511616
2867,2768289.5385770183
2868,2768654.7818028796
2869,2769020.025028745
2870,2769385.268254615
2871,2769750.5114804893
2872,2770115.754706368
2873,2770480.997932251
2874,2770846.2411581385
2875,2771211.48438403
2876,2771576.7276099264
2877,2771941.970835827
2878,2772307.2140617315
2879,2772672.457287641
2880,2773037.7005135547
2881,2773402.9437394724
2882,2773768.1869653948
2883,2774133.4301913218
2884,2774498.6734172525
2885,2774863.9166431883
2886,2775229.159869128
2887,2775594.403095072
2888,2775959.646321021
2889,2776324.8895469736
2890,2776690.1327729314
2891,2777055.375998893
2892,2777420.619224859
2893,2777785.8624508292
2894,2778151.105676804
2895,2778516.3489027834
2896,2778881.5921287667
2897,2779246.8353547547
2898,2779612.0785807474
2899,2779977.3218067437
2900,2780342.565032745
2901,2780707.8082587505
2902,2781073.05148476
2903,2781438.2947107744
2904,2781803.5379367927
2905,2782168.7811628156
2906,2782534.0243888428
2907,2782899.2676148745
2908,2783264.5108409105
2909,2783629.754066951
2910,2783994.997292996
2911,2784360.240519045
2912,2784725.483745098
2913,2785090.726971156
2914,2785455.9701972185
2915,2785821.213423285
2916,2786186.456649356
2917,2786551.699875431
2918,2786916.9431015113
2919,2787282.1863275953
2920,2787647.429553684
2921,2788012.6727797766
2922,2788377.9160058736
2923,2788743.159231975
2924,2789108.402458081
2925,2789473.6456841915
2926,2789838.888910306
2927,2790204.1321364255
2928,2790569.3753625485
2929,2790934.6185886767
2930,2791299.8618148086
2931,2791665.105040945
2932,2792030.3482670863
2933,2792395.5914932312
2934,2792760.8347193813
2935,2793126.077945535
2936,2793491.3211716935
2937,2793856.564397856
2938,2794221.8076240234
2939,2794587.050850195
2940,2794952.294076371
2941,2795317.537302551
2942,2795682.780528736
2943,2796048.0237549245
2944,2796413.266981118
2945,2796778.510207316
2946,2797143.753433518
2947,2797508.9966597245
2948,2797874.239885935
2949,2798239.4831121503
2950,2798604.72633837
2951,2798969.969564594
2952,2799335.212790822
2953,2799700.456017055
2954,2800065.699243292
2955,2800430.9424695335
2956,2800796.1856957795
2957,2801161.4289220297
2958,2801526.672148284
2959,2801891.915374543
2960,2802257.1586008063
2961,2802622.401827074
2962,2802987.645053346
2963,2803352.8882796224
2964,2803718.1315059033
2965,2804083.3747321884
2966,2804448.6179584777
2967,2804813.861184772
2968,2805179.1044110702
2969,2805544.347637373
2970,2805909.5908636795
2971,2806274.834089991
2972,2806640.077316307
2973,2807005.320542627
2974,2807370.5637689517
2975,2807735.8069952806
2976,2808101.0502216136
2977,2808466.2934479513
2978,2808831.536674293
2979,2809196.77990064
2980,2809562.0231269905
2981,2809927.2663533455
2982,2810292.509579705
2983,2810657.752806069
2984,2811022.996032437
2985,2811388.2392588095
2986,2811753.4824851863
2987,2812118.725711568
2988,2812483.9689379535
2989,2812849.2121643433
2990,2813214.455390738
2991,2813579.6986171366
2992,2813944.94184354
2993,2814310.1850699475
2994,2814675.4282963593
2995,2815040.6715227757
2996,2815405.9147491963
2997,2815771.1579756215
2998,2816136.401202051
2999,2816501.6444284846
3000,2816866.887654923
3001,2817232.1308813654
3002,2817597.374107812
3003,2817962.6173342634
3004,2818327.860560719
3005,2818693.103787179
3006,2819058.3470136435
3007,2819423.590240112
3008,2819788.8334665853
3009,2820154.0766930627
3010,2820519.3199195443
3011,2820884.5631460305
3012,2821249.8063725214
3013,2821615.049599016
3014,2821980.2928255154
3015,2822345.5360520193
3016,2822710.7792785275
3017,2823076.02250504
3018,2823441.265731557
3019,2823806.508958078
3020,2824171.7521846034
3021,2824536.9954111334
3022,2824902.2386376676
3023,2825267.4818642065
3024,2825632.7250907496
3025,2825997.968317297
3026,2826363.2115438487
3027,2826728.454770405
3028,2827093.697996965
3029,2827458.94122353
3030,2827824.1844500992
3031,2828189.427676673
3032,2828554.670903251
3033,2828919.9141298337
3034,2829285.15735642
3035,2829650.4005830116
3036,2830015.643809607
3037,2830380.8870362067
3038,2830746.130262811
3039,2831111.3734894195
3040,2831476.616716033
3041,2831841.85994265
3042,2832207.1031692717
3043,2832572.3463958977
3044,2832937.5896225283
3045,2833302.832849163
3046,2833668.076075802
3047,2834033.3193024457
3048,2834398.5625290936
3049,2834763.805755746
3050,2835129.048982403
3051,2835494.2922090637
3052,2835859.535435729
3053,2836224.7786623994
3054,2836590.0218890733
3055,2836955.265115752
3056,2837320.5083424347
3057,2837685.751569122
3058,2838050.9947958137
3059,2838416.23802251
3060,2838781.4812492104
3061,2839146.724475915
3062,2839511.967702624
3063,2839877.2109293374
3064,2840242.4541560556
3065,2840607.697382778
3066,2840972.9406095045
3067,2841338.183836235
3068,2841703.4270629706
3069,2842068.6702897106
3070,2842433.9135164544
3071,2842799.1567432033
3072,2843164.399969956
3073,2843529.643196713
3074,2843894.8864234746
3075,2844260.1296502408
3076,2844625.372877011
3077,2844990.616103786
3078,2845355.8593305647
3079,2845721.102557348
3080,2846086.345784136
3081,2846451.5890109283
3082,2846816.832237725
3083,2847182.0754645257
3084,2847547.318691331
3085,2847912.561918141
3086,2848277.805144955
3087,2848643.048371773
3088,2849008.291598596
3089,2849373.5348254233
3090,2849738.7780522546
3091,2850104.021279091
3092,2850469.264505931
3093,2850834.507732776
3094,2851199.7509596255
3095,2851564.9941864787
3096,2851930.237413337
3097,2852295.4806401995
3098,2852660.723867066
3099,2853025.9670939376
3100,2853391.2103208136
3101,2853756.453547694
3102,2854121.696774578
3103,2854486.9400014672
3104,2854852.1832283605
3105,2855217.4264552584
3106,2855582.6696821605
3107,2855947.9129090672
3108,2856313.156135978
3109,2856678.399362894
3110,2857043.6425898136
3111,2857408.885816738
3112,2857774.1290436666
3113,2858139.3722705995
3114,2858504.615497537
3115,2858869.858724479
3116,2859235.1019514254
3117,2859600.3451783764
3118,2859965.5884053316
3119,2860330.831632291
3120,2860696.074859255
3121,2861061.3180862237
3122,2861426.5613131966
3123,2861791.8045401736
3124,2862157.0477671553
3125,2862522.2909941417
3126,2862887.5342211323
3127,2863252.777448127
3128,2863618.0206751265
3129,2863983.26390213
3130,2864348.5071291383
3131,2864713.750356151
3132,2865078.993583168
3133,2865444.236810189
3134,2865809.480037215
3135,2866174.7232642453
3136,2866539.96649128
3137,2866905.209718319
3138,2867270.452945363
3139,2867635.6961724106
