year,tt
6455,4078779.0356038576
6456,4079144.273908819
6457,4079509.512213777
6458,4079874.7626809417
6459,4080240.0080224294
6460,4080605.2483911477
6461,4080970.4887598623
6462,4081335.7291285726
6463,4081700.969497279
6464,4082066.209865981
6465,4082431.450234678
6466,4082796.7051310604
6467,4083161.9490110073
6468,4083527.19289095
6469,4083892.4367708885
6470,4084257.680650823
6471,4084622.924530753
6472,4084988.1657836586
6473,4085353.405778673
6474,4085718.643996696
6475,4086083.8822147143
6476,4086449.120432729
6477,4086814.358650739
6478,4087179.5968687446
6479,4087544.8494203156
6480,4087910.09407714
6481,4088275.338733961
6482,4088640.583390776
6483,4089005.8280475875
6484,4089371.0727043953
6485,4089736.316228209
6486,4090101.5592514398
6487,4090466.8022746667
6488,4090832.044313905
6489,4091197.285120938
6490,4091562.524034932
6491,4091927.7629235582
6492,4092293.0018121805
6493,4092658.240700798
6494,4093023.4795894115
6495,4093388.7184780203
6496,4093753.957366626
6497,4094119.196255226
6498,4094484.459354469
6499,4094849.7011564616
6500,4095214.94295845
6501,4095580.1847604336
6502,4095945.426562413
6503,4096310.6683643884
6504,4096675.9101663595
6505,4097041.1519683264
6506,4097406.393770289
6507,4097771.6355722477
6508,4098136.877374202
6509,4098502.119176152
6510,4098867.3609780977
6511,4099232.602780039
6512,4099597.8445819765
6513,4099963.086383909
6514,4100328.3281858377
6515,4100693.5699877627
6516,4101058.811789683
6517,4101424.0535915988
6518,4101789.2953935107
6519,4102154.537195418
6520,4102519.7789973216
6521,4102885.0207992205
6522,4103250.2626011157
6523,4103615.5044030063
6524,4103980.7462048926
6525,4104345.988006775
6526,4104711.229808653
6527,4105076.4716105266
6528,4105441.7134123957
6529,4105806.955214261
6530,4106172.197016122
6531,4106537.438817979
6532,4106902.680619831
6533,4107267.9224216794
6534,4107633.1642235233
6535,4107998.406025363
6536,4108363.6478271987
6537,4108728.8896290297
6538,4109094.131430857
6539,4109459.3732326794
6540,4109824.6150344983
6541,4110189.8568363125
6542,4110555.098638123
6543,4110920.3404399287
6544,4111285.58224173
6545,4111650.8240435272
6546,4112016.065845321
6547,4112381.3076471095
6548,4112746.5494488943
6549,4113111.791250675
6550,4113477.033052451
6551,4113842.274854223
6552,4114207.5166559904
6553,4114572.758457754
6554,4114938.000259513
6555,4115303.242061268
6556,4115668.483863019
6557,4116033.7256647656
6558,4116398.9674665076
6559,4116764.209268246
6560,4117129.4510699795
6561,4117494.6928717094
6562,4117859.934673434
6563,4118225.176475155
6564,4118590.4182768725
6565,4118955.660078585
6566,4119320.901880293
6567,4119686.1436819974
6568,4120051.385483697
6569,4120416.627285393
6570,4120781.869087084
6571,4121147.1108887717
6572,4121512.3526904546
6573,4121877.594492133
6574,4122242.8362938073
6575,4122608.078095478
6576,4122973.319897144
6577,4123338.5616988055
6578,4123703.8609113125
6579,4124069.1054469114
6580,4124434.3444068944
6581,4124799.5833668727
6582,4125164.8223268474
6583,4125530.0612868173
6584,4125895.3002467835
6585,4126260.539206745
6586,4126625.7781667025
6587,4126991.0171266557
6588,4127356.2560866047
6589,4127721.4950465495
6590,4128086.7340064896
6591,4128451.972966426
6592,4128817.211926358
6593,4129182.450886286
6594,4129547.6898462093
6595,4129912.928806128
6596,4130278.1677660435
6597,4130643.4067259543
6598,4131008.645685861
6599,4131373.9480937487
6600,4131739.196623995
6601,4132104.4372682762
6602,4132469.6764172222
6603,4132834.915566164
6604,4133200.1547151012
6605,4133565.3938640347
6606,4133930.6330129635
6607,4134295.8721618885
6608,4134661.111310809
6609,4135026.3504597256
6610,4135391.5896086376
6611,4135756.8287575454
6612,4136122.0679064486
6613,4136487.3070553485
6614,4136852.5462042433
6615,4137217.7853531344
6616,4137583.0245020213
6617,4137948.2636509035
6618,4138313.5027997815
6619,4138678.7419486553
6620,4139043.981097525
6621,4139409.2202463904
6622,4139774.4593952517
6623,4140139.698544109
6624,4140504.9376929617
6625,4140870.1768418103
6626,4141235.486655319
6627,4141600.731031335
6628,4141965.971599946
6629,4142331.2121685515
6630,4142696.4527371535
6631,4143061.693305751
6632,4143426.9338743445
6633,4143792.1744429334
6634,4144157.415011518
6635,4144522.6555800987
6636,4144887.896148675
6637,4145253.136717248
6638,4145618.3772858153
6639,4145983.617854379
6640,4146348.8584229387
6641,4146714.0989914937
6642,4147079.339560045
6643,4147444.5801285915
6644,4147809.820697134
6645,4148175.061265672
6646,4148540.301834206
6647,4148905.542402736
6648,4149270.782971261
6649,4149636.0235397825
6650,4150001.2641082997
6651,4150366.5046768123
6652,4150731.7452453207
6653,4151096.9858138254
6654,4151462.2263823254
6655,4151827.4669508217
6656,4152192.707519313
6657,4152557.9480878003
6658,4152923.1886562835
6659,4153288.429224762
6660,4153653.669793237
6661,4154018.910361707
6662,4154384.1509301737
6663,4154749.3914986355
6664,4155114.6320670936
6665,4155479.872635547
6666,4155845.113203996
6667,4156210.353772441
6668,4156575.594340882
6669,4156940.834909318
6670,4157306.0754777505
6671,4157671.3160461783
6672,4158036.5566146025
6673,4158401.797183022
6674,4158767.133689776
6675,4159132.372682023
6676,4159497.611674265
6677,4159862.8506665034
6678,4160228.089658737
6679,4160593.328650967
6680,4160958.5676431926
6681,4161323.806635414
6682,4161689.045627631
6683,4162054.2846198436
6684,4162419.523612052
6685,4162784.762604256
6686,4163150.0015964564
6687,4163515.240588652
6688,4163880.479580844
6689,4164245.718573031
6690,4164610.9575652145
6691,4164976.1965573933
6692,4165341.435549568
6693,4165706.6745417383
6694,4166071.9135339046
6695,4166437.1525260666
6696,4166802.391518224
6697,4167167.6305103777
6698,4167532.8695025267
6699,4167898.108494672
6700,4168263.3474868126
6701,4168628.586478949
6702,4168993.8254710813
6703,4169359.0644632094
6704,4169724.303455333
6705,4170089.5424474524
6706,4170454.781439568
6707,4170820.0204316787
6708,4171185.3693320667
6709,4171550.6158764297
6710,4171915.8543241057
6711,4172281.0927717774
6712,4172646.331219445
6713,4173011.5696671084
6714,4173376.8081147675
6715,4173742.046562422
6716,4174107.285010073
6717,4174472.523457719
6718,4174837.7619053614
6719,4175203.000352999
6720,4175568.238800633
6721,4175933.4772482626
6722,4176298.715695888
6723,4176663.9541435083
6724,4177029.192591125
6725,4177394.4310387378
6726,4177759.6694863457
6727,4178124.90793395
6728,4178490.1463815495
6729,4178855.3848291454
6730,4179220.6232767366
6731,4179585.8617243236
6732,4179951.1001719064
6733,4180316.338619485
6734,4180681.5770670595
6735,4181046.8155146297
6736,4181412.0539621953
6737,4181777.292409757
6738,4182142.5308573144
6739,4182507.769304868
6740,4182873.0077524167
6741,4183238.246199961
6742,4183603.4846475013
6743,4183968.8485363657
6744,4184334.0965001956
6745,4184699.3357638153
6746,4185064.5750274314
6747,4185429.8142910427
6748,4185795.0535546504
6749,4186160.292818253
6750,4186525.5320818517
6751,4186890.771345447
6752,4187256.0106090372
6753,4187621.249872623
6754,4187986.489136205
6755,4188351.7283997824
6756,4188716.967663356
6757,4189082.206926925
6758,4189447.44619049
6759,4189812.685454051
6760,4190177.924717607
6761,4190543.163981159
6762,4190908.4032447073
6763,4191273.642508251
6764,4191638.881771791
6765,4192004.121035326
6766,4192369.360298857
6767,4192734.5995623833
6768,4193099.838825906
6769,4193465.0780894244
6770,4193830.3173529385
6771,4194195.5566164483
6772,4194560.795879954
6773,4194926.0351434555
6774,4195291.274406953
6775,4195656.513670445
6776,4196021.752933934
6777,4196386.992197419
6778,4196752.231460898
6779,4197117.470724374
6780,4197482.709987846
6781,4197847.949251314
6782,4198213.1885147765
6783,4198578.427778236
6784,4198943.66704169
6785,4199308.906305141
6786,4199674.145568587
6787,4200039.384832029
6788,4200404.624095467
6789,4200769.997704774
6790,4201135.2424887065
6791,4201500.4847303685
6792,4201865.723302166
